"","V1"
"1109",11
"1110",11
"1111",11
"1112",1
"1113",11
"1114",20
"1115",11
"1116",11
"1117",14
"1118",11
"1119",11
"1120",14
"1121",11
"1122",11
"1123",14
"1124",11
"1125",16
"1126",12
"1127",11
"1128",14
"1129",11
"1130",1
"1131",11
"1132",11
"1133",11
"1134",11
"1135",11
"1136",11
"1137",11
"1138",19
"1139",11
"1140",11
"1141",11
"1142",4
"1145",3
"1151",11
"1153",4
"1154",4
"1155",4
"1156",16
"1157",11
"1158",11
"1159",11
"1160",11
"1161",11
"1162",11
"1163",11
"1164",4
"1165",4
"1166",11
"1167",14
"1168",17
"1169",14
"1170",11
"1171",4
"1172",11
"1173",11
"1174",11
"1175",11
"1176",11
"1177",11
"1178",2
"1179",11
"1180",15
"1181",11
"1182",10
"1183",11
"1184",4
"1185",11
"1186",8
"1187",11
"1188",13
"1189",11
"1190",11
"1191",11
"1192",11
"1193",11
"1194",5
"1195",11
"1196",11
"1197",11
"1198",11
"1199",11
"1200",11
"1201",11
"1202",11
"1203",20
"1204",11
"1205",11
"1206",11
"1207",11
"1208",11
"1209",11
"1210",11
"1211",11
"1212",7
"1213",3
"1214",4
"1215",11
"1216",8
"1217",11
"1218",11
"1219",11
"1220",11
"1221",11
"1222",11
"1223",11
"1224",11
"1225",8
"1226",11
"1227",11
"1228",11
"1229",11
"1230",11
"1231",11
"1232",11
"1233",14
"1234",14
"1235",11
"1236",11
"1237",11
"1238",11
"1239",1
"1240",11
"1241",11
"1242",11
"1243",11
"1244",11
"1245",11
"1246",11
"1247",11
"1248",18
"1249",11
"1250",11
"1251",11
"1252",16
"1253",8
"1254",11
"1255",4
"1256",11
"1257",11
"1258",11
"1259",4
"1260",1
"1261",11
"1262",10
"1263",11
"1264",14
"1265",11
"1266",11
"1267",11
"1268",11
"1269",16
"1270",11
"1271",11
"1272",11
"1273",18
"1274",11
"1275",4
"1276",10
"1277",6
"1278",11
"1279",11
"1280",11
"1281",11
"1282",16
"1283",11
"1284",11
"1285",11
"1286",10
"1287",2
"1288",11
"1289",14
"1290",11
"1291",11
"1292",11
"1293",5
"1294",11
"1295",11
"1296",11
"1297",11
"1298",11
"1299",11
"1300",11
"1301",11
"1302",11
"1303",11
"1304",5
"1305",5
"1306",6
"1307",11
"1308",11
"1309",17
