"","x"
"996",263
"997",756
"998",582
"999",136
"1000",145
"1001",451
"1002",257
"1003",494
"1004",23
"1005",164
"1006",363
"1007",196
"1008",1181
"1009",181
"1010",468
"1011",320
"1012",200
"1013",105
"1014",541
"1015",249
"1016",95
"1017",305
"1018",369
"1019",285
"1020",43
"1021",458
"1022",421
"1023",152
"1024",400
"1025",427
"1026",32
"1027",388
"1028",417
"1029",491
"1030",450
"1031",639
"1032",252
"1033",257
"1034",256
"1035",242
"1036",141
"1037",7
"1038",639
"1039",161
"1040",488
"1041",379
"1042",502
"1043",485
"1044",128
"1045",720
"1046",445
"1047",272
"1048",1284
"1049",35
"1050",377
"1051",22
"1052",95
"1053",167
"1054",1174
"1055",509
"1056",12
"1057",124
"1058",61
"1059",179
"1060",278
"1061",476
"1062",87
"1063",331
"1064",382
"1065",286
"1066",339
"1067",732
"1068",379
"1069",51
"1070",392
"1071",684
"1072",1347
"1073",314
"1074",61
"1075",642
"1076",245
"1077",623
"1078",199
"1079",178
"1080",98
"1081",201
"1082",438
"1083",310
"1084",546
"1085",250
"1086",69
"1087",400
"1088",133
"1089",463
"1090",17
"1091",43
"1092",241
"1093",159
"1094",362
"1095",579
"1096",1112
"1097",475
"1098",246
"1099",98
"1100",512
"1101",415
"1102",240
"1103",256
"1104",406
"1105",133
"1106",272
"1107",355
"1108",399
"1109",306
"1110",683
"1111",1032
"1112",26
"1113",337
"1114",539
"1115",433
"1116",240
"1117",572
"1118",211
"1119",975
"1120",204
"1121",736
"1122",147
"1123",220
"1124",947
"1125",325
"1126",534
"1127",201
"1128",650
"1129",48
"1130",333
"1131",704
"1132",634
"1133",416
"1134",384
"1135",598
"1136",477
"1137",437
"1138",577
"1139",327
"1140",372
"1141",587
"1142",454
"1143",110
"1144",757
"1145",409
"1146",642
"1147",198
"1148",27
"1149",131
"1150",886
"1151",133
"1152",175
"1153",169
"1154",318
"1155",62
"1156",2039
"1157",370
"1158",824
"1159",256
"1160",321
"1161",200
"1162",321
"1163",379
"1164",806
"1165",38
"1166",542
"1167",549
"1168",867
"1169",294
"1170",113
"1171",349
"1172",736
"1173",660
"1174",84
"1175",458
"1176",432
"1177",491
"1178",118
"1179",98
"1180",448
"1181",203
"1182",372
"1183",347
"1184",384
"1185",196
"1186",148
"1187",130
"1188",150
"1189",264
"1190",377
"1191",348
"1192",439
"1193",393
"1194",235
"1195",172
"1196",359
"1197",480
"1198",112
"1199",257
"1200",398
"1201",210
"1202",69
"1203",560
"1204",680
"1205",37
"1206",105
"1207",176
"1208",171
"1209",134
"1210",90
"1211",85
"1212",171
"1213",58
"1214",220
"1215",52
"1216",228
"1217",348
"1218",110
"1219",39
"1220",125
"1221",337
"1222",97
"1223",381
"1224",469
"1225",68
"1226",170
"1227",287
"1228",280
"1229",28
"1230",107
"1231",748
"1232",40
"1233",482
"1234",177
"1235",37
"1236",215
"1237",369
"1238",174
"1239",390
"1240",29
"1241",41
"1242",811
"1243",417
"1244",30
"1245",245
"1246",149
"1247",146
"1248",567
"1249",615
"1250",301
"1251",214
"1252",1353
"1253",39
"1254",175
"1255",127
"1256",239
"1257",116
"1258",71
"1259",41
"1260",48
"1261",205
"1262",62
"1263",172
"1264",93
"1265",247
"1266",106
"1267",281
"1268",661
"1269",33
"1270",401
"1271",84
"1272",159
"1273",256
"1274",35
"1275",104
"1276",81
"1277",133
"1278",183
"1279",33
"1280",135
"1281",194
"1282",176
"1283",92
"1284",173
"1285",96
"1286",135
"1287",238
"1288",278
"1289",251
"1290",65
"1291",168
"1292",229
"1293",325
"1294",147
"1295",143
"1296",149
"1297",20
"1298",180
"1299",55
"1300",177
"1301",138
"1302",93
"1303",159
"1304",244
"1305",244
"1306",430
"1307",4
"1308",196
"1309",47
"1310",72
"1311",44
"1312",159
"1313",182
"1314",514
"1315",113
"1316",426
"1317",188
"1318",278
"1319",789
"1320",117
"1321",84
"1322",206
"1323",89
"1324",286
"1325",252
"1326",193
"1327",92
"1328",150
"1329",172
"1330",477
"1331",250
"1332",285
"1333",121
"1334",219
"1335",41
"1336",188
"1337",0
"1338",48
"1339",154
"1340",28
"1341",43
"1342",90
"1343",92
"1344",33
"1345",318
"1346",40
"1347",62
"1348",227
"1349",423
"1350",568
"1351",126
"1352",137
"1353",61
"1354",152
"1355",30
"1356",109
"1357",247
"1358",265
"1359",255
"1360",26
"1361",227
"1362",143
"1363",105
"1364",200
"1365",117
"1366",0
"1367",325
"1368",143
"1369",565
"1370",243
"1371",372
"1372",34
"1373",174
"1374",191
"1375",279
"1376",32
"1377",72
"1378",376
"1379",114
"1380",94
"1381",279
"1382",383
"1383",226
"1384",28
"1385",234
"1386",433
"1387",240
"1388",436
"1389",20
"1390",18
"1391",115
"1392",454
"1393",146
"1394",171
"1395",17
"1396",54
"1397",229
"1398",42
"1399",224
"1400",307
"1401",18
"1402",412
"1403",218
"1404",74
"1405",381
"1406",156
"1407",173
"1408",162
"1409",62
"1410",41
"1411",210
"1412",195
"1413",121
"1414",31
"1415",201
"1416",142
"1417",119
"1418",236
"1419",4
"1420",369
"1421",238
"1422",204
"1423",85
"1424",398
"1425",301
"1426",478
"1427",568
"1428",487
"1429",122
"1430",78
"1431",516
"1432",33
"1433",415
"1434",2377
"1435",237
"1436",514
"1437",126
"1438",130
"1439",34
"1440",443
"1441",392
"1442",252
"1443",318
"1444",448
"1445",205
"1446",100
"1447",289
"1448",312
"1449",32
"1450",233
"1451",6
"1452",22
"1453",127
"1454",60
"1455",246
"1456",628
"1457",312
"1458",227
"1459",58
"1460",159
"1461",233
"1462",30
"1463",261
"1464",261
"1465",327
"1466",464
"1467",101
"1468",59
"1469",460
"1470",143
"1471",153
"1472",139
"1473",183
"1474",172
"1475",427
"1476",122
"1477",8
"1478",173
"1479",117
"1480",460
"1481",115
"1482",254
"1483",490
"1484",137
"1485",43
"1486",212
"1487",31
"1488",92
"1489",329
"1490",309
"1491",697
"1492",18
"1493",46
"1494",158
"1495",233
"1496",385
"1497",0
"1498",705
"1499",311
"1500",216
"1501",27
"1502",32
"1503",276
"1504",424
"1505",17
"1506",63
"1507",175
"1508",346
"1509",87
"1510",507
"1511",87
"1512",65
"1513",289
"1514",102
"1515",199
"1516",225
"1517",184
"1518",188
"1519",246
"1520",614
"1521",220
"1522",171
"1523",13
"1524",32
"1525",132
"1526",121
"1527",275
"1528",104
"1529",421
"1530",264
"1531",80
"1532",50
"1533",89
"1534",171
"1535",37
"1536",296
"1537",37
"1538",109
"1539",163
"1540",79
"1541",555
"1542",312
"1543",298
"1544",333
"1545",133
"1546",299
"1547",231
"1548",216
"1549",116
"1550",306
"1551",80
"1552",302
"1553",88
"1554",37
"1555",37
"1556",255
"1557",33
"1558",107
"1559",891
"1560",521
"1561",117
"1562",139
"1563",39
"1564",144
"1565",243
"1566",250
"1567",366
"1568",397
"1569",155
"1570",0
"1571",222
"1572",130
"1573",320
"1574",461
"1575",501
"1576",230
"1577",32
"1578",154
"1579",42
"1580",71
"1581",177
"1582",135
"1583",262
"1584",22
"1585",355
"1586",131
"1587",273
"1588",117
"1589",53
"1590",180
"1591",478
"1592",480
"1593",265
"1594",45
"1595",79
"1596",151
"1597",235
"1598",27
"1599",71
"1600",700
"1601",195
"1602",182
"1603",71
"1604",120
"1605",92
"1606",25
"1607",305
"1608",134
"1609",231
"1610",153
"1611",131
"1612",277
"1613",562
"1614",6
"1615",168
"1616",187
"1617",16
"1618",41
"1619",75
"1620",196
"1621",62
"1622",27
"1623",29
"1624",159
"1625",94
"1626",20
"1627",83
"1628",58
"1629",99
"1630",81
"1631",143
"1632",24
"1633",65
"1634",242
"1635",189
"1636",46
"1637",17
"1638",57
"1639",71
"1640",224
"1641",0
"1642",115
"1643",152
"1644",88
"1645",30
"1646",182
"1647",96
"1648",175
"1649",144
"1650",11
"1651",84
"1652",31
"1653",207
"1654",78
"1655",70
"1656",86
"1657",164
"1658",79
"1659",125
"1660",31
"1661",108
"1662",154
"1663",81
"1664",61
"1665",42
"1666",207
"1667",131
"1668",71
"1669",55
"1670",273
"1671",134
"1672",115
"1673",98
"1674",0
"1675",140
"1676",78
"1677",232
"1678",96
"1679",86
"1680",317
"1681",76
"1682",51
"1683",146
"1684",246
"1685",123
"1686",118
"1687",85
"1688",215
"1689",251
"1690",87
"1691",124
"1692",30
"1693",184
"1694",276
"1695",75
"1696",58
"1697",191
"1698",66
"1699",0
"1700",39
"1701",177
"1702",18
"1703",28
"1704",4
"1705",127
"1706",45
"1707",95
"1708",11
"1709",47
"1710",143
"1711",69
"1712",92
"1713",17
"1714",153
"1715",39
"1716",142
"1717",63
"1718",41
"1719",74
"1720",143
"1721",14
"1722",134
"1723",162
"1724",178
"1725",1
"1726",31
"1727",117
"1728",80
"1729",177
"1730",0
"1731",138
"1732",143
"1733",15
"1734",152
"1735",27
"1736",175
"1737",209
"1738",37
"1739",42
"1740",137
"1741",257
"1742",93
"1743",5
"1744",3
"1745",32
"1746",292
"1747",242
"1748",9
"1749",3
"1750",107
"1751",62
"1752",142
"1753",38
"1754",97
"1755",102
"1756",28
"1757",134
"1758",25
"1759",299
"1760",248
"1761",6
"1762",31
"1763",73
"1764",469
"1765",140
"1766",46
"1767",81
"1768",14
"1769",85
"1770",23
"1771",147
"1772",88
"1773",159
"1774",46
"1775",26
"1776",169
"1777",235
"1778",177
"1779",84
"1780",10
"1781",107
"1782",51
"1783",145
"1784",51
"1785",116
"1786",42
"1787",81
"1788",11
"1789",17
"1790",74
"1791",118
"1792",102
"1793",101
"1794",176
"1795",74
"1796",15
"1797",299
"1798",180
"1799",57
"1800",113
"1801",11
"1802",46
"1803",121
"1804",85
"1805",234
"1806",104
"1807",115
"1808",135
"1809",185
"1810",121
"1811",192
"1812",33
"1813",159
"1814",240
"1815",52
"1816",43
"1817",123
"1818",277
"1819",90
"1820",102
"1821",241
"1822",8
"1823",28
"1824",11
"1825",211
"1826",66
"1827",121
"1828",214
"1829",57
"1830",11
"1831",155
"1832",289
"1833",16
"1834",34
"1835",233
"1836",233
"1837",131
"1838",146
"1839",75
"1840",0
"1841",109
"1842",102
"1843",114
"1844",195
"1845",122
"1846",523
"1847",275
"1848",85
"1849",82
"1850",60
"1851",87
"1852",30
"1853",43
"1854",54
"1855",179
"1856",89
"1857",6
"1858",7
"1859",66
"1860",37
"1861",121
"1862",4
"1863",149
"1864",10
"1865",177
"1866",83
"1867",181
"1868",11
"1869",76
"1870",33
"1871",36
"1872",6
"1873",153
"1874",195
"1875",18
"1876",28
"1877",137
"1878",6
"1879",81
"1880",25
"1881",211
"1882",19
"1883",212
"1884",138
"1885",80
"1886",147
"1887",0
"1888",15
"1889",46
"1890",2
"1891",20
"1892",135
"1893",145
"1894",187
"1895",221
"1896",268
"1897",807
"1898",198
"1899",34
"1900",137
"1901",156
"1902",252
"1903",303
"1904",25
"1905",144
"1906",99
"1907",214
"1908",26
"1909",139
"1910",250
"1911",21
"1912",75
"1913",31
"1914",151
"1915",37
"1916",86
"1917",129
"1918",134
"1919",119
"1920",137
"1921",184
"1922",48
"1923",122
"1924",17
"1925",193
"1926",76
"1927",16
"1928",187
"1929",181
"1930",180
"1931",38
"1932",141
"1933",108
"1934",24
"1935",15
"1936",20
"1937",198
"1938",136
"1939",146
"1940",217
"1941",116
"1942",153
"1943",11
"1944",136
"1945",14
"1946",115
"1947",109
"1948",50
"1949",161
"1950",100
"1951",104
"1952",147
"1953",199
"1954",93
"1955",36
"1956",248
"1957",57
"1958",119
"1959",191
"1960",11
"1961",17
"1962",3
"1963",81
"1964",121
"1965",100
"1966",20
"1967",77
"1968",181
"1969",297
"1970",74
"1971",78
"1972",79
"1973",16
"1974",130
"1975",97
"1976",202
"1977",41
"1978",112
"1979",128
"1980",188
"1981",225
"1982",58
"1983",86
"1984",171
"1985",92
"1986",79
"1987",144
"1988",21
"1989",137
"1990",70
"1991",18
"1992",79
"1993",18
"1994",108
"1995",70
"1996",31
"1997",175
