"","V1"
"1149",14
"1150",4
"1151",14
"1152",14
"1153",7
"1154",7
"1155",14
"1156",14
"1157",18
"1158",12
"1159",14
"1160",18
"1161",14
"1162",14
"1163",14
"1164",12
"1165",18
"1166",18
"1167",18
"1168",14
"1169",14
"1170",12
"1171",10
"1172",18
"1173",18
"1174",18
"1175",13
"1176",18
"1177",16
"1178",18
"1179",20
"1180",18
"1181",9
"1182",18
"1183",18
"1184",18
"1185",14
"1186",14
"1187",7
"1188",14
"1189",14
"1190",18
"1191",18
"1192",18
"1193",18
"1194",14
"1195",13
"1196",18
"1197",14
"1198",18
"1199",14
"1200",18
"1201",14
"1202",18
"1203",9
"1204",11
"1205",14
"1206",18
"1207",14
"1208",18
"1209",18
"1210",18
"1211",18
"1212",12
"1213",14
"1214",14
"1215",14
"1216",14
"1217",14
"1218",14
"1219",18
"1220",14
"1221",14
"1222",20
"1223",18
"1224",14
"1225",18
"1226",14
"1227",14
"1228",14
"1229",18
"1230",18
"1231",4
"1232",14
"1233",18
"1234",14
"1235",14
"1236",14
"1237",10
"1238",18
"1239",14
"1240",17
"1241",18
"1242",18
"1243",14
"1244",14
"1245",18
"1246",18
"1247",18
"1248",18
"1249",12
"1250",18
"1251",18
"1252",14
"1253",18
"1254",18
"1255",18
"1256",18
"1257",18
"1258",18
"1259",14
"1260",4
"1261",7
"1262",18
"1263",18
"1264",18
"1265",18
"1266",12
"1267",18
"1268",14
"1269",18
"1270",8
"1271",18
"1272",18
"1273",18
"1274",12
"1275",18
"1276",18
"1277",18
"1278",14
"1279",18
"1280",13
"1281",4
"1282",18
"1283",4
"1284",18
"1285",18
"1286",18
"1287",18
"1288",12
"1289",18
"1290",18
"1291",18
"1292",18
"1293",14
"1294",18
"1295",18
"1296",14
"1297",18
"1298",20
"1299",18
"1300",18
"1301",18
"1302",18
"1303",4
"1304",20
"1305",18
"1306",18
"1307",14
"1308",1
"1309",18
"1310",18
"1311",18
"1312",13
"1313",18
"1314",18
"1315",4
"1316",14
"1317",18
"1318",18
"1319",4
"1320",18
"1321",18
"1322",7
"1323",18
"1324",18
"1325",1
"1326",18
"1327",12
"1328",9
"1329",9
"1330",13
"1331",13
"1332",9
"1333",1
"1334",13
"1335",9
"1336",9
"1337",9
"1338",13
"1339",9
"1340",7
"1341",12
"1342",16
"1343",1
"1344",13
"1345",1
"1346",13
"1347",13
"1348",1
"1349",9
"1350",7
"1351",1
"1352",12
"1353",13
"1354",9
"1355",13
"1356",9
"1357",9
"1358",9
"1359",12
"1360",20
"1361",9
"1362",9
"1363",1
"1364",9
"1365",7
"1366",13
"1367",16
"1368",13
"1369",1
"1370",17
"1371",9
"1372",13
"1373",8
"1374",9
"1375",16
"1376",9
"1377",16
"1378",9
"1379",9
"1380",9
"1381",9
"1382",18
"1383",9
"1384",9
"1385",13
"1386",13
"1387",13
"1388",9
"1389",1
"1390",9
"1391",9
"1392",13
"1393",16
"1394",10
"1395",16
"1396",9
"1397",9
"1398",9
"1399",18
"1400",9
"1401",9
"1402",16
"1403",16
"1404",9
"1405",13
"1406",9
"1407",16
"1408",13
"1409",9
"1410",12
"1411",10
"1412",12
"1413",9
"1414",19
"1415",19
"1416",9
"1417",12
"1418",9
"1419",9
"1420",4
"1421",13
"1422",9
"1423",9
"1424",17
"1425",9
"1426",16
"1427",9
"1428",18
"1429",9
"1430",14
"1431",4
"1432",16
"1433",18
"1434",13
"1435",9
"1436",9
"1437",9
"1438",9
"1439",16
"1440",9
"1441",9
"1442",13
"1443",9
"1444",12
"1445",9
"1446",13
"1447",9
"1448",9
"1449",9
"1450",9
"1451",9
"1452",16
"1453",9
"1454",9
"1455",9
"1456",9
"1457",13
"1458",16
"1459",9
"1460",10
"1461",9
"1462",9
"1463",9
"1464",13
"1465",9
