"","x"
"1022",279
"1023",269
"1024",226
"1025",887
"1026",609
"1027",300
"1028",448
"1029",218
"1030",725
"1031",719
"1032",52
"1033",115
"1034",1532
"1035",119
"1036",108
"1037",751
"1038",1660
"1039",1106
"1040",550
"1041",971
"1042",880
"1043",689
"1044",444
"1045",487
"1046",914
"1047",1132
"1048",1300
"1049",290
"1050",216
"1051",593
"1052",218
"1053",1666
"1054",403
"1055",276
"1056",184
"1057",141
"1058",407
"1059",1866
"1060",1024
"1061",238
"1062",1323
"1063",246
"1064",1650
"1065",528
"1066",454
"1067",73
"1068",1568
"1069",503
"1070",1538
"1071",903
"1072",324
"1073",549
"1074",433
"1075",834
"1076",232
"1077",524
"1078",1495
"1079",240
"1080",503
"1081",312
"1082",255
"1083",1313
"1084",563
"1085",213
"1086",377
"1087",572
"1088",1754
"1089",867
"1090",278
"1091",285
"1092",745
"1093",323
"1094",304
"1095",365
"1096",785
"1097",1069
"1098",954
"1099",697
"1100",105
"1101",172
"1102",1318
"1103",450
"1104",433
"1105",404
"1106",831
"1107",591
"1108",1077
"1109",531
"1110",531
"1111",499
"1112",166
"1113",722
"1114",253
"1115",616
"1116",468
"1117",1899
"1118",444
"1119",774
"1120",360
"1121",607
"1122",839
"1123",219
"1124",631
"1125",297
"1126",293
"1127",414
"1128",1165
"1129",546
"1130",789
"1131",327
"1132",120
"1133",230
"1134",358
"1135",162
"1136",144
"1137",66
"1138",109
"1139",486
"1140",286
"1141",317
"1142",341
"1143",317
"1144",80
"1145",430
"1146",224
"1147",295
"1148",90
"1149",442
"1150",411
"1151",287
"1152",497
"1153",1538
"1154",274
"1155",305
"1156",363
"1157",212
"1158",120
"1159",160
"1160",199
"1161",497
"1162",807
"1163",542
"1164",125
"1165",230
"1166",206
"1167",180
"1168",404
"1169",366
"1170",191
"1171",240
"1172",162
"1173",380
"1174",247
"1175",279
"1176",117
"1177",256
"1178",349
"1179",187
"1180",232
"1181",192
"1182",481
"1183",236
"1184",540
"1185",331
"1186",232
"1187",252
"1188",302
"1189",341
"1190",172
"1191",157
"1192",236
"1193",227
"1194",265
"1195",99
"1196",150
"1197",692
"1198",148
"1199",216
"1200",135
"1201",436
"1202",294
"1203",188
"1204",210
"1205",421
"1206",788
"1207",276
"1208",327
"1209",108
"1210",121
"1211",252
"1212",249
"1213",469
"1214",465
"1215",339
"1216",164
"1217",393
"1218",538
"1219",210
"1220",110
"1221",802
"1222",242
"1223",117
"1224",434
"1225",218
"1226",397
"1227",204
"1228",589
"1229",193
"1230",73
"1231",251
"1232",789
"1233",355
