"","x"
"976",548
"977",397
"978",2024
"979",367
"980",379
"981",628
"982",17
"983",712
"984",126
"985",57
"986",605
"987",84
"988",84
"989",502
"990",118
"991",235
"992",195
"993",255
"994",535
"995",278
"996",268
"997",766
"998",585
"999",139
"1000",151
"1001",458
"1002",263
"1003",516
"1004",23
"1005",166
"1006",368
"1007",202
"1008",1216
"1009",193
"1010",477
"1011",326
"1012",207
"1013",107
"1014",551
"1015",253
"1016",100
"1017",310
"1018",385
"1019",288
"1020",45
"1021",463
"1022",429
"1023",155
"1024",412
"1025",429
"1026",32
"1027",397
"1028",431
"1029",514
"1030",453
"1031",666
"1032",253
"1033",266
"1034",257
"1035",244
"1036",141
"1037",8
"1038",658
"1039",163
"1040",489
"1041",387
"1042",515
"1043",502
"1044",128
"1045",738
"1046",452
"1047",277
"1048",1318
"1049",35
"1050",389
"1051",23
"1052",99
"1053",171
"1054",1216
"1055",519
"1056",12
"1057",129
"1058",61
"1059",182
"1060",287
"1061",499
"1062",89
"1063",335
"1064",385
"1065",301
"1066",344
"1067",744
"1068",391
"1069",51
"1070",398
"1071",705
"1072",1374
"1073",316
"1074",62
"1075",650
"1076",251
"1077",633
"1078",200
"1079",186
"1080",98
"1081",207
"1082",446
"1083",311
"1084",554
"1085",262
"1086",69
"1087",410
"1088",133
"1089",478
"1090",17
"1091",43
"1092",249
"1093",159
"1094",373
"1095",587
"1096",1140
"1097",481
"1098",248
"1099",98
"1100",525
"1101",418
"1102",244
"1103",262
"1104",409
"1105",139
"1106",281
"1107",361
"1108",409
"1109",310
"1110",712
"1111",1043
"1112",26
"1113",342
"1114",552
"1115",449
"1116",243
"1117",593
"1118",221
"1119",999
"1120",214
"1121",767
"1122",147
"1123",223
"1124",980
"1125",328
"1126",540
"1127",213
"1128",668
"1129",49
"1130",351
"1131",719
"1132",659
"1133",425
"1134",387
"1135",602
"1136",488
"1137",453
"1138",591
"1139",341
"1140",384
"1141",608
"1142",459
"1143",111
"1144",767
"1145",422
"1146",661
"1147",203
"1148",27
"1149",131
"1150",899
"1151",138
"1152",176
"1153",174
"1154",330
"1155",62
"1156",2088
"1157",386
"1158",842
"1159",256
"1160",333
"1161",204
"1162",331
"1163",392
"1164",828
"1165",39
"1166",548
"1167",555
"1168",891
"1169",300
"1170",114
"1171",361
"1172",755
"1173",664
"1174",86
"1175",478
"1176",436
"1177",504
"1178",119
"1179",99
"1180",459
"1181",204
"1182",377
"1183",358
"1184",394
"1185",198
"1186",153
"1187",130
"1188",150
"1189",267
"1190",385
"1191",359
"1192",447
"1193",405
"1194",243
"1195",180
"1196",365
"1197",500
"1198",115
"1199",261
"1200",404
"1201",223
"1202",71
"1203",561
"1204",686
"1205",38
"1206",108
"1207",185
"1208",176
"1209",136
"1210",90
"1211",86
"1212",176
"1213",59
"1214",224
"1215",55
"1216",229
"1217",352
"1218",111
"1219",40
"1220",127
"1221",343
"1222",99
"1223",394
"1224",478
"1225",70
"1226",174
"1227",302
"1228",285
"1229",28
"1230",115
"1231",768
"1232",41
"1233",487
"1234",179
"1235",37
"1236",216
"1237",382
"1238",181
"1239",391
"1240",32
"1241",42
"1242",844
"1243",422
"1244",30
"1245",258
"1246",158
"1247",147
"1248",579
"1249",638
"1250",308
"1251",226
"1252",1355
"1253",41
"1254",178
"1255",130
"1256",246
"1257",122
"1258",73
"1259",42
"1260",49
"1261",211
"1262",64
"1263",180
"1264",93
"1265",264
"1266",108
"1267",297
"1268",663
"1269",34
"1270",409
"1271",87
"1272",162
"1273",260
"1274",38
"1275",107
"1276",81
"1277",136
"1278",183
"1279",33
"1280",137
"1281",197
"1282",181
"1283",94
"1284",180
"1285",99
"1286",137
"1287",241
"1288",285
"1289",273
"1290",72
"1291",171
"1292",235
"1293",329
"1294",159
"1295",150
"1296",155
"1297",20
"1298",190
"1299",56
"1300",179
"1301",141
"1302",94
"1303",168
"1304",254
"1305",245
"1306",444
"1307",5
"1308",204
"1309",48
"1310",72
"1311",46
"1312",165
"1313",184
"1314",532
"1315",116
"1316",437
"1317",190
"1318",283
"1319",791
"1320",120
"1321",87
"1322",212
"1323",94
"1324",303
"1325",271
"1326",197
"1327",94
"1328",163
"1329",175
"1330",501
"1331",256
"1332",291
"1333",127
"1334",232
"1335",42
"1336",202
"1337",0
"1338",48
"1339",159
"1340",29
"1341",43
"1342",95
"1343",94
"1344",33
"1345",320
"1346",41
"1347",63
"1348",231
"1349",437
"1350",573
"1351",128
"1352",138
"1353",63
"1354",155
"1355",30
"1356",114
"1357",261
"1358",267
"1359",258
"1360",26
"1361",229
"1362",143
"1363",108
"1364",213
"1365",120
"1366",0
"1367",330
"1368",145
"1369",596
"1370",246
"1371",380
"1372",35
"1373",179
"1374",193
"1375",292
"1376",33
"1377",73
"1378",381
"1379",119
"1380",99
"1381",288
"1382",390
"1383",233
"1384",29
"1385",244
"1386",444
"1387",248
"1388",445
"1389",21
"1390",18
"1391",122
"1392",462
"1393",148
"1394",179
"1395",17
"1396",55
"1397",232
"1398",42
"1399",236
"1400",310
"1401",18
"1402",428
"1403",227
"1404",75
"1405",399
"1406",159
"1407",177
"1408",170
"1409",63
"1410",42
"1411",211
"1412",198
"1413",123
"1414",32
"1415",208
"1416",144
"1417",122
"1418",238
"1419",4
"1420",377
"1421",246
"1422",214
"1423",86
"1424",407
"1425",303
"1426",492
"1427",574
"1428",502
"1429",127
"1430",79
"1431",524
"1432",34
"1433",423
"1434",2389
"1435",250
"1436",528
"1437",129
"1438",130
"1439",35
"1440",459
"1441",396
"1442",262
"1443",331
"1444",453
"1445",214
"1446",101
"1447",293
"1448",321
"1449",33
"1450",238
"1451",6
"1452",22
"1453",133
"1454",61
"1455",252
"1456",637
"1457",324
"1458",237
"1459",58
"1460",160
"1461",242
"1462",31
"1463",266
"1464",262
"1465",345
"1466",471
"1467",102
"1468",60
"1469",470
"1470",147
"1471",158
"1472",141
"1473",192
"1474",178
"1475",433
"1476",129
"1477",8
"1478",177
"1479",120
"1480",468
"1481",119
"1482",265
"1483",505
"1484",145
"1485",44
"1486",219
"1487",32
"1488",94
"1489",336
"1490",315
"1491",702
"1492",18
"1493",47
"1494",166
"1495",234
"1496",391
"1497",0
"1498",711
"1499",327
"1500",229
"1501",27
"1502",33
"1503",284
"1504",433
"1505",18
"1506",64
"1507",181
"1508",364
"1509",90
"1510",521
"1511",93
"1512",69
"1513",289
"1514",105
"1515",200
"1516",230
"1517",187
"1518",194
"1519",260
"1520",641
"1521",229
"1522",172
"1523",14
"1524",32
"1525",136
"1526",124
"1527",281
"1528",104
"1529",455
"1530",267
"1531",83
"1532",55
"1533",89
"1534",173
"1535",38
"1536",319
"1537",37
"1538",120
"1539",167
"1540",79
"1541",579
"1542",324
"1543",309
"1544",345
"1545",137
"1546",304
"1547",238
"1548",234
"1549",116
"1550",320
"1551",84
"1552",324
"1553",96
"1554",38
"1555",38
"1556",266
"1557",35
"1558",107
"1559",909
"1560",525
"1561",122
"1562",140
"1563",40
"1564",147
"1565",257
"1566",260
"1567",380
"1568",408
"1569",172
"1570",0
"1571",223
"1572",135
"1573",331
"1574",475
"1575",521
"1576",238
"1577",33
"1578",158
"1579",43
"1580",72
"1581",184
"1582",138
"1583",265
"1584",22
"1585",364
"1586",132
"1587",274
"1588",125
"1589",55
"1590",186
"1591",511
"1592",481
"1593",305
"1594",48
"1595",80
"1596",155
"1597",240
"1598",30
"1599",74
"1600",710
"1601",197
"1602",192
"1603",74
"1604",121
"1605",102
"1606",26
"1607",320
"1608",145
"1609",238
"1610",154
"1611",141
"1612",293
"1613",591
"1614",6
"1615",177
"1616",196
"1617",17
"1618",41
"1619",78
"1620",202
"1621",65
"1622",28
"1623",30
"1624",165
"1625",95
"1626",21
"1627",85
"1628",61
"1629",105
"1630",82
"1631",144
"1632",26
"1633",67
"1634",255
"1635",190
"1636",47
"1637",18
"1638",60
"1639",77
"1640",234
"1641",0
"1642",118
"1643",161
"1644",89
"1645",33
"1646",194
"1647",96
"1648",176
"1649",148
"1650",11
"1651",86
"1652",31
"1653",211
"1654",78
"1655",71
"1656",88
"1657",169
"1658",81
"1659",133
"1660",31
"1661",113
"1662",162
"1663",82
"1664",62
"1665",43
"1666",222
"1667",137
"1668",74
"1669",55
"1670",277
"1671",135
"1672",121
"1673",107
"1674",0
"1675",149
"1676",86
"1677",236
"1678",99
"1679",94
"1680",323
"1681",80
"1682",51
"1683",148
"1684",251
"1685",123
"1686",120
"1687",89
"1688",227
"1689",253
"1690",90
"1691",129
"1692",31
"1693",190
"1694",279
"1695",77
"1696",58
"1697",198
"1698",66
"1699",0
"1700",43
"1701",186
"1702",18
"1703",28
"1704",4
"1705",128
"1706",45
"1707",100
"1708",11
"1709",49
"1710",147
"1711",69
"1712",95
"1713",18
"1714",156
"1715",40
"1716",147
"1717",63
"1718",41
"1719",77
"1720",146
"1721",15
"1722",140
"1723",162
"1724",181
"1725",1
"1726",33
"1727",118
"1728",87
"1729",185
"1730",0
"1731",149
"1732",148
"1733",18
"1734",153
"1735",28
"1736",181
"1737",223
"1738",37
"1739",44
"1740",140
"1741",272
"1742",97
"1743",5
"1744",3
"1745",32
"1746",312
"1747",245
"1748",9
"1749",3
"1750",108
"1751",62
"1752",143
"1753",38
"1754",104
"1755",102
"1756",30
"1757",137
"1758",27
"1759",315
"1760",249
"1761",6
"1762",32
"1763",74
"1764",488
