"","term","topic1","topic10","topic11","topic12","topic13","topic14","topic15","topic16","topic17","topic18","topic19","topic2","topic20","topic21","topic22","topic23","topic24","topic25","topic3","topic4","topic5","topic6","topic7","topic8","topic9","log_ratio"
"11","all",5.70258726384161e-06,0.0132728639562254,0.0127805040456356,0.00938339010670186,0.000184217876265012,5.31126679024214e-06,0.011549121465974,0.0111499841981825,0.00697590871800921,0.0113041214005192,0.00390419213532608,0.0123385902296113,0.00440247621164747,0.0127267684749449,7.58040919048811e-06,0.0028107284074127,0.0225386300121365,0.00183195253328959,0.00312606543128658,3.87058318076785e-06,0.00650154924487003,0.00029218156506196,8.21834498968598e-06,0.0182956868385438,3.6125993013233e-06,11.0792733268886
"12","already",5.70258726384161e-06,4.10797398830871e-06,2.3446164090324e-06,3.00653319663629e-06,5.94251213758104e-06,5.31126679024214e-06,0.00135719077110276,0.000116434444635422,5.36195904535681e-06,0.00410985748377935,7.21662132222937e-06,0.00222499168074958,4.83257542442093e-06,4.4022028623123e-06,7.58040919048811e-06,0.00191087185513368,0.000683552426611115,9.11419170790839e-06,4.80194382686112e-06,0.000584458060295945,0.000735028365597424,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,8.60796760796302
"13","always",5.70258726384161e-06,0.0038245237831154,0.00354271539404796,3.00653319663629e-06,0.00131329518240541,5.31126679024214e-06,0.00374917450561336,5.5444973635915e-06,5.36195904535681e-06,2.68442683460441e-06,0.000801044966767459,0.00574843891712722,4.83257542442093e-06,4.4022028623123e-06,7.58040919048811e-06,5.2932738369354e-06,0.000404551436157598,0.000191398025866076,4.80194382686112e-06,0.00279069047333362,4.46702321633793e-05,0.000693215085735237,8.21834498968598e-06,5.66254622053353e-06,0.0020627942010556,9.97733788785927
"14","area",0.00314212558237672,4.51877138713958e-05,2.3446164090324e-06,3.00653319663629e-06,5.94251213758104e-06,5.31126679024214e-06,0.000161198903847454,5.5444973635915e-06,0.000166220730406061,2.68442683460441e-06,7.21662132222937e-06,6.52490228958822e-06,4.83257542442093e-06,0.00220550363401846,7.58040919048811e-06,5.2932738369354e-06,0.000125550445704082,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,8.52795341300878e-05,0.000177600559155309,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,-8.9115688296323
"15","around",0.00222971162016207,4.10797398830871e-06,0.00677828603851267,0.00159646912741387,0.00244237248854581,5.31126679024214e-06,5.19996464024045e-06,0.00776784080639169,5.36195904535681e-06,2.68442683460441e-06,7.21662132222937e-06,0.00261648581812487,0.000681393134843352,0.00312996623510405,0.00372198091252966,0.00101101530285466,0.00269855957988651,9.11419170790839e-06,4.80194382686112e-06,8.12822467961248e-05,0.00402438182490081,6.3019553248658e-05,8.21834498968598e-06,5.66254622053353e-06,0.000364872529433653,0.230773308086421
"16","arrived",0.00131729765794741,4.10797398830871e-06,2.3446164090324e-06,3.00653319663629e-06,5.94251213758104e-06,0.000430212610009613,0.000733195014273903,5.5444973635915e-06,5.36195904535681e-06,2.95286951806485e-05,7.21662132222937e-06,6.52490228958822e-06,0.000198135592401258,4.4022028623123e-06,7.58040919048811e-06,5.2932738369354e-06,0.000993553527115021,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,0.000125888836096796,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,-7.6574093624772
"17","awful",0.00108919416739375,4.10797398830871e-06,0.000119575436860652,3.00653319663629e-06,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,5.5444973635915e-06,5.36195904535681e-06,2.95286951806485e-05,7.21662132222937e-06,7.17739251854704e-05,4.83257542442093e-06,4.4022028623123e-06,7.58040919048811e-06,0.000746351611007892,1.55000550251953e-06,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,0.000166498138063505,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,-3.9236575304596
"18","back",0.0196796286475174,4.10797398830871e-06,0.0047619159267448,0.00493372097568015,0.00101616957552636,5.31126679024214e-06,5.19996464024045e-06,0.00577182175549876,5.8981549498925e-05,2.68442683460441e-06,7.9382834544523e-05,6.52490228958822e-06,4.83257542442093e-06,0.00828054358400944,7.58040919048811e-06,0.00228140102371916,0.00947208362589687,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,0.00248122835016589,5.72905029533254e-06,8.21834498968598e-06,0.000685168092684556,0.00188216423598944,-11.5584590794967
"19","battery",0.00114622004003216,4.10797398830871e-06,2.3446164090324e-06,3.00653319663629e-06,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,5.5444973635915e-06,5.36195904535681e-06,2.68442683460441e-06,7.21662132222937e-06,6.52490228958822e-06,4.83257542442093e-06,4.4022028623123e-06,7.58040919048811e-06,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,-7.45671201224007
"20","beautiful",5.70258726384161e-06,0.00616606895645136,2.3446164090324e-06,3.00653319663629e-06,5.94251213758104e-06,0.000111536602595085,5.19996464024045e-06,5.5444973635915e-06,0.000112601139952493,2.95286951806485e-05,7.21662132222937e-06,0.00222499168074958,4.83257542442093e-06,0.00546313375212957,0.00857344279444204,5.2932738369354e-06,1.55000550251953e-06,0.000373681860024244,4.80194382686112e-06,8.12822467961248e-05,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.97385923145563e-05,8.60796760796302
