"","V1"
"1628",14
"1629",22
"1630",15
"1631",22
"1632",22
"1633",22
"1634",9
"1635",22
"1636",14
"1637",8
"1638",22
"1639",9
"1640",14
"1642",15
"1643",10
"1644",2
"1645",12
"1646",15
"1647",2
"1648",22
"1649",22
"1650",17
"1651",7
"1652",24
"1653",16
"1654",14
"1655",12
"1656",22
"1657",9
"1658",20
"1659",10
"1660",7
"1661",18
"1662",22
"1663",22
"1664",22
"1665",22
"1666",9
"1667",1
"1668",22
"1669",22
"1670",22
"1671",13
"1672",10
"1673",22
"1675",22
"1676",11
"1677",10
"1678",10
"1679",10
"1680",21
"1681",22
"1682",22
"1683",22
"1684",13
"1685",9
"1686",22
"1687",23
"1688",10
"1689",22
"1690",22
"1691",23
"1692",4
"1693",22
"1694",4
"1695",15
"1696",22
"1697",9
"1698",19
"1700",20
"1701",22
"1702",10
"1703",1
"1704",5
"1705",22
"1706",7
"1707",22
"1708",6
"1709",21
"1710",6
"1711",1
"1712",13
"1713",1
"1714",2
"1715",20
"1716",14
"1717",21
"1718",6
"1719",22
"1720",22
"1721",22
"1722",24
"1723",12
"1724",10
"1725",7
"1726",22
"1727",6
"1728",11
"1729",9
"1731",9
"1732",10
"1733",1
"1734",22
"1735",20
"1736",1
"1737",10
"1738",2
"1739",22
"1740",13
"1741",22
"1742",22
"1743",6
"1744",1
"1745",22
"1746",9
"1747",22
"1748",5
"1749",5
"1750",13
"1751",5
"1752",22
"1753",13
"1754",22
"1755",13
"1756",4
"1757",5
"1758",24
"1759",11
"1760",22
"1761",22
"1762",19
"1763",2
"1764",10
"1765",22
"1766",9
"1767",10
"1768",22
"1769",10
"1770",22
"1771",24
"1772",22
"1773",10
"1774",4
"1775",17
"1776",10
"1777",9
"1778",24
"1779",9
"1780",4
"1781",20
"1782",18
"1783",22
"1784",14
"1785",9
"1786",22
"1787",22
"1788",22
"1789",8
"1790",13
"1791",9
"1792",3
"1793",10
"1794",10
"1795",7
"1796",22
"1797",10
"1798",9
"1799",15
"1800",22
"1801",22
"1802",2
"1803",22
"1804",22
"1805",9
"1806",22
"1807",10
"1808",15
"1809",9
"1810",22
"1811",21
"1812",14
"1813",7
"1814",9
"1815",22
"1816",13
"1817",9
"1818",2
"1819",9
"1820",14
"1821",22
"1822",3
"1823",10
"1824",13
"1825",12
"1826",5
"1827",10
"1828",10
"1829",22
"1830",19
"1831",9
"1832",10
"1833",4
"1834",22
"1835",10
"1836",22
"1837",9
"1838",14
"1839",22
"1841",9
"1842",5
"1843",9
"1844",2
"1845",10
"1846",2
"1847",18
"1848",22
"1849",22
"1850",20
"1851",10
"1852",11
"1853",22
"1854",22
"1855",6
"1856",21
"1857",4
"1858",3
"1859",22
"1860",22
"1861",6
"1862",6
"1863",22
"1864",8
"1865",13
"1866",20
"1867",3
"1868",19
"1869",10
"1870",17
"1871",15
"1872",22
"1873",22
"1874",9
"1875",5
"1876",4
"1877",9
"1878",6
"1879",22
"1880",3
"1881",2
"1882",13
"1883",21
"1884",22
"1885",15
"1886",4
"1888",22
"1889",8
"1890",4
"1891",21
"1892",2
"1893",8
"1894",9
"1895",9
"1896",9
"1897",19
"1898",24
