"","term","topic1","topic10","topic11","topic12","topic13","topic14","topic15","topic16","topic17","topic18","topic19","topic2","topic20","topic3","topic4","topic5","topic6","topic7","topic8","topic9","log_ratio"
"11","ashley",4.39280458608799e-06,5.78954986249819e-06,6.4145739119279e-06,6.39161420216676e-06,6.07810363166692e-06,9.03546419697311e-06,5.28387625161819e-06,4.35929292268794e-06,7.22308497959479e-06,0.000130511792672695,6.70173910129679e-06,0.00125707538979755,6.19214217158426e-06,5.09541158187053e-06,6.62449074227419e-06,6.38834765387932e-06,5.71314308566858e-06,6.8575347162695e-06,7.011393514461e-06,7.16589036187746e-05,8.16071313629485
"12","awesome",4.39280458608799e-06,5.78954986249819e-06,0.00250809839956381,0.000134223898245502,0.00219419541103176,9.03546419697311e-06,5.81226387678001e-05,0.000178731009830206,0.0015240709306945,6.21484727012834e-06,6.70173910129679e-06,0.00875785672118623,6.19214217158426e-06,5.09541158187053e-06,6.62449074227419e-06,7.02718241926725e-05,5.71314308566858e-06,6.8575347162695e-06,7.011393514461e-06,6.51444578352496e-06,10.9612198095399
"13","balloon",4.39280458608799e-06,5.78954986249819e-06,6.4145739119279e-06,7.03077562238344e-05,6.07810363166692e-06,9.03546419697311e-06,5.28387625161819e-06,4.35929292268794e-06,7.22308497959479e-06,6.21484727012834e-06,6.70173910129679e-06,0.00118762371080321,6.19214217158426e-06,5.09541158187053e-06,6.62449074227419e-06,6.38834765387932e-06,5.71314308566858e-06,6.8575347162695e-06,7.011393514461e-06,6.51444578352496e-06,8.07871976409754
"14","balloons",4.39280458608799e-06,5.78954986249819e-06,0.000327143269508323,6.39161420216676e-06,6.07810363166692e-06,9.03546419697311e-06,5.28387625161819e-06,4.35929292268794e-06,0.000151684784571491,6.83633199714117e-05,6.70173910129679e-06,0.00243775393270132,6.19214217158426e-06,5.09541158187053e-06,6.62449074227419e-06,6.38834765387932e-06,0.00011997600479904,6.8575347162695e-06,7.011393514461e-06,6.51444578352496e-06,9.1161944695162
"15","beautiful",0.00663752772957895,5.78954986249819e-06,6.4145739119279e-06,6.39161420216676e-06,6.07810363166692e-06,0.00118364580980348,5.28387625161819e-06,4.35929292268794e-06,7.22308497959479e-06,0.0122494639694229,0.00315651911671079,0.00264610896968434,6.19214217158426e-06,0.00566100226745815,0.0199463416249876,6.38834765387932e-06,5.71314308566858e-06,0.000212583576204354,0.00267134092900964,0.000462525650630272,-1.32677350845986
"16","beauty",0.00343078038173472,5.78954986249819e-06,6.4145739119279e-06,6.39161420216676e-06,6.07810363166692e-06,0.000280099390106167,5.28387625161819e-06,4.35929292268794e-06,7.22308497959479e-06,0.000192660265373979,0.000341788694166136,6.94516789943397e-06,6.19214217158426e-06,5.09541158187053e-06,6.62449074227419e-06,6.38834765387932e-06,5.71314308566858e-06,6.8575347162695e-06,0.000357581069237511,6.51444578352496e-06,-8.94831148893034
"17","become",0.00114652199696896,0.000121580547112462,6.4145739119279e-06,6.39161420216676e-06,6.07810363166692e-06,0.000189744748136436,5.28387625161819e-06,4.35929292268794e-06,0.000946224132326917,6.83633199714117e-05,6.70173910129679e-06,6.94516789943397e-06,6.19214217158426e-06,5.09541158187053e-06,0.000801563379815177,0.00141182483150733,5.71314308566858e-06,0.000212583576204354,7.011393514461e-06,6.51444578352496e-06,-7.36703874735824
"18","believe",0.00668145577543983,6.36850484874801e-05,6.4145739119279e-06,6.39161420216676e-06,6.07810363166692e-06,0.00055116331601536,0.0012205754141238,4.35929292268794e-06,7.22308497959479e-06,6.83633199714117e-05,0.0002077539121402,6.94516789943397e-06,0.00062540635933001,5.09541158187053e-06,6.62449074227419e-06,6.38834765387932e-06,5.71314308566858e-06,0.00117263843648208,7.011393514461e-06,6.51444578352496e-06,-9.90993718851285
"19","best",4.39280458608799e-06,5.78954986249819e-06,6.4145739119279e-06,6.39161420216676e-06,6.07810363166692e-06,9.03546419697311e-06,5.28387625161819e-06,4.35929292268794e-06,7.22308497959479e-06,6.21484727012834e-06,6.70173910129679e-06,0.0109803104490051,0.00254497043252113,0.000973223612137271,6.62449074227419e-06,0.000134155300731466,0.00514754192018739,0.000144008229041659,0.00694829097283085,0.000527670108465522,11.28748890157
"20","betsy",4.39280458608799e-06,5.78954986249819e-06,6.4145739119279e-06,6.39161420216676e-06,6.07810363166692e-06,9.03546419697311e-06,5.28387625161819e-06,4.35929292268794e-06,7.22308497959479e-06,6.21484727012834e-06,6.70173910129679e-06,0.00257665729069,6.19214217158426e-06,5.09541158187053e-06,6.62449074227419e-06,6.38834765387932e-06,5.71314308566858e-06,6.8575347162695e-06,7.011393514461e-06,6.51444578352496e-06,9.19614262583245
